book_id,author_id,role
367,435,Translator
367,436,Illustrator
368,2,writer
369,119,writer
370,437,writer
370,438,Translator
371,85,Goodreads Author
372,51,Goodreads Author
373,439,writer
374,440,Goodreads Author
375,441,Goodreads Author
376,442,writer
376,329,Introduction
377,4,writer
378,443,Goodreads Author
379,444,writer
380,263,Goodreads Author
380,264,Goodreads Author
381,43,writer
382,353,writer
382,445,Introduction
383,331,writer
383,446,Illustrator
384,338,writer
384,342,Edito
384,447,writer
385,364,Goodreads Author
386,325,Goodreads Author
387,448,Goodreads Author
388,449,writer
388,450,Editor
389,263,Goodreads Author
389,264,Goodreads Author
390,217,Goodreads Author
391,325,Goodreads Author
392,328,writer
393,451,writer
394,303,writer
395,4,writer
396,43,writer
397,229,Goodreads Author
398,452,writer
398,453,Goodreads Author)
398,454,Introduction
399,78,Goodreads Author
400,455,writer
401,84,Goodreads Author
402,456,writer
403,325,Goodreads Author
404,457,writer
405,263,Goodreads Author
405,264,Goodreads Author
406,458,writer
407,67,writer
407,459,Annotations
407,460,Illustrations
408,461,writer
408,462,Translator
408,463,Translator
408,464,Translator
409,331,writer
410,465,writer
411,466,writer
412,288,Goodreads Author
412,352,illustrator
413,362,writer
413,467,Introduction
414,468,writer
415,469,Goodreads Author
416,470,writer
417,471,Goodreads Author
418,366,writer
418,472,Translator
418,473,Introduction
419,222,Goodreads Author
420,96,Goodreads Author
421,474,Goodreads Author
422,475,writer
422,476,Editor/Introduction
423,477,writer
424,478,writer
425,479,writer
426,480,Goodreads Author
427,481,writer
427,482,Introduction
427,483,Afterword
428,484,Goodreads Author
429,485,Goodreads Author
430,486,Goodreads Author
431,487,Goodreads Author
432,109,writer
433,488,writer
433,489,Introduction
434,490,Goodreads Author
435,491,writer
436,492,writer
437,493,Goodreads Author
438,494,Goodreads Author
439,495,Goodreads Author
439,496,writer
440,497,Goodreads Author
441,498,Goodreads Author
442,35,Goodreads Author
443,35,Goodreads Author
444,499,writer
444,500,Annotations
445,443,Goodreads Author
446,501,Goodreads Author
447,489,writer
448,501,Goodreads Author
449,502,Goodreads Author
450,503,Goodreads Author
451,504,writer
452,505,writer
453,43,writer
454,26,writer
454,28,Editor
454,27,Editor
454,506,Editor
454,507,Contributor
455,508,writer
455,509,Translator
456,510,Goodreads Author
457,511,writer
457,512,Narrator
458,513,Goodreads Author
459,514,writer
460,229,Goodreads Author
461,140,Goodreads Author
462,515,writer
463,49,writer
464,516,Goodreads Author
465,9,writer
466,517,Goodreads Author
467,289,Goodreads Author
468,518,writer
468,519,Editor/Introduction
468,520,Editor/Introduction
469,466,writer
470,521,writer
471,522,Goodreads Author
472,318,Goodreads Author
473,353,writer
473,523,Introduction
473,524,Editor
474,525,writer
475,526,Goodreads Author
476,527,Goodreads Author
477,528,Goodreads Author
478,529,writer
479,530,Goodreads Author
480,531,writer
481,532,writer
482,390,writer
483,412,writer
483,533,Introduction
484,26,writer
485,534,Goodreads Author
486,139,Goodreads Author
487,535,Goodreads Author
488,84,Goodreads Author
489,536,Goodreads Author
490,537,writer
491,325,Goodreads Author
492,263,Goodreads Author
492,264,Goodreads Author
493,67,writer
493,538,Contributor
494,26,writer
494,506,Editor
494,28,Editor
494,27,Editor
495,539,Goodreads Author
496,150,writer
496,41,Illustrator
497,540,writer
497,541,Illustrator
498,92,writer
499,97,writer
500,248,Goodreads Author
501,542,Goodreads Author
501,543,Illustrator
502,544,writer
502,545,Introduction
502,546,Translation
503,36,writer
504,547,writer
505,548,writer
506,51,Goodreads Author
507,276,writer
508,549,writer
509,26,writer
509,550,writer
510,551,Goodreads Author
511,39,writer
512,552,Goodreads Author
513,553,writer
514,554,Goodreads Author
515,555,writer
516,556,writer
517,557,writer
517,558,Translator
517,559,Translator
517,560,Translator
518,561,Goodreads Author
519,562,writer
519,563,Illustrator
520,9,writer
520,539,Goodreads Author)
521,564,writer
521,565,Translation
522,109,writer
523,566,writer
523,567,writer
524,568,Goodreads Author
525,125,Goodreads Author
526,278,Goodreads Author
527,78,Goodreads Author
527,569,Goodreads Author
528,336,Goodreads Author
529,331,writer
530,570,Goodreads Author
531,555,writer
532,571,Goodreads Author
533,572,Goodreads Author
534,573,writer
535,427,writer
536,574,writer
537,132,writer
537,133,Translator
538,201,Goodreads Author
539,571,Goodreads Author
540,575,writer
541,576,writer
541,133,Translator
542,249,Goodreads Author
543,577,writer
544,359,Goodreads Author
545,473,writer
546,578,writer
547,579,writer
548,580,writer
549,581,writer
550,582,writer
550,583,Translator
551,584,Goodreads Author
552,585,Goodreads Author
553,586,writer
554,587,writer
555,588,Goodreads Author
556,589,writer
557,590,Goodreads Author
558,364,Goodreads Author
559,591,Goodreads Author
560,592,writer
560,593,Introduction
561,594,Goodreads Author
562,595,Goodreads Author
563,259,writer
563,260,Translator
563,305,Translator
564,596,writer
564,597,Illustrator
565,598,writer
566,599,writer
567,600,Goodreads Author
568,263,Goodreads Author
568,264,Goodreads Author
569,584,Goodreads Author
570,443,Goodreads Author
571,84,Goodreads Author
572,601,writer
573,602,writer
574,30,Goodreads Author
574,603,Translator
574,604,Translator
575,605,Goodreads Author
575,606,Goodreads Author
576,607,Goodreads Author
577,608,writer
578,609,writer
579,97,writer
580,610,writer
581,611,Goodreads Author
582,470,writer
583,84,Goodreads Author
583,612,translator
584,467,writer
584,145,Translator
585,613,writer
586,614,writer
586,615,Introduction
587,616,writer
588,617,writer
588,618,Goodreads Author)
589,619,Translator
590,620,writer
591,621,writer
592,622,writer
592,623,writer
592,624,illustrator
593,470,writer
594,105,Goodreads Author
595,402,Goodreads Author
596,625,writer
597,591,Goodreads Author
598,626,writer
598,627,writer
599,35,Goodreads Author
600,628,Goodreads Author
601,629,writer
602,630,Goodreads Author
603,631,writer
603,632,Translator
604,633,Goodreads Author
605,364,Goodreads Author
606,634,Goodreads Author
607,635,Goodreads Author
608,636,Goodreads Author
609,637,writer
609,638,Edito
609,639,writer
610,314,Goodreads Author
611,530,Goodreads Author
612,640,writer
612,641,Goodreads Author
613,642,Goodreads Author
614,36,writer
615,643,writer
615,644,Translator
616,390,writer
617,353,writer
617,645,Introduction/Notes
618,646,writer
619,647,writer
620,364,Goodreads Author
621,648,writer
622,649,writer
623,226,writer
624,102,writer
625,78,Goodreads Author
626,318,Goodreads Author
627,650,Goodreads Author
628,651,writer
628,652,Goodreads Author)
629,653,writer
629,654,Afterword
630,655,writer
630,656,Translator
631,657,writer
632,658,writer
633,659,writer
634,23,writer
635,248,Goodreads Author
636,660,writer
637,661,writer
637,662,Annotations
638,663,Goodreads Author
639,430,writer
640,226,writer
641,518,writer
641,664,writer
641,665,Goodreads Author)
641,666,Narrator
641,667,writer
641,668,Editor
642,669,Goodreads Author
643,26,writer
644,548,writer
645,201,Goodreads Author
646,458,writer
647,670,Goodreads Author
648,62,Reader
649,655,writer
649,671,translator
649,632,translator
650,672,writer
650,673,Foreword
651,674,writer
652,118,writer
653,601,writer
654,359,Goodreads Author
655,675,Goodreads Author
656,419,writer
656,676,writer
656,677,Translator
656,678,Translator
656,679,Illustrator
656,680,Translation
656,681,writer
656,456,writer
656,682,writer
657,683,Goodreads Author
658,274,writer
659,139,Goodreads Author
660,684,writer
660,685,Translator
661,23,writer
662,686,writer
662,687,Illustrator
662,688,Illustrator
663,140,Goodreads Author
664,490,Goodreads Author
665,689,writer
666,139,Goodreads Author
667,690,writer
668,280,Goodreads Author
669,582,writer
669,583,Translator
670,691,writer
671,288,Goodreads Author
672,601,writer
673,692,writer
673,693,Goodreads Author)
674,694,writer
675,695,writer
675,696,Translator
675,697,Translator
675,698,Introduction
676,699,Goodreads Author
676,700,Traduction
677,490,Goodreads Author
678,312,Goodreads Author
679,274,writer
680,701,writer
680,702,Editor
681,442,writer
682,703,writer
683,297,Goodreads Author
684,704,writer
684,705,Forewar
684,300,writer
685,706,Goodreads Author
686,707,writer
687,652,Goodreads Author
688,5,Goodreads Author
688,708,writer
689,709,Goodreads Author
690,279,Goodreads Author
691,710,Goodreads Author
692,571,Goodreads Author
693,631,writer
693,711,Translato
693,712,writer
693,713,Introduction
694,110,Goodreads Author
695,78,Goodreads Author
696,714,Goodreads Author
697,715,writer
698,716,writer
699,487,Goodreads Author
700,249,Goodreads Author
701,369,writer
702,717,Goodreads Author
703,601,writer
704,96,Goodreads Author
705,494,Goodreads Author
706,718,writer
707,717,Goodreads Author
708,51,Goodreads Author
709,364,Goodreads Author
710,263,Goodreads Author
710,264,Goodreads Author
711,719,Goodreads Author
712,720,writer
713,318,Goodreads Author
714,721,writer
715,366,writer
