name
Alfred J. Mac Adam
Pauline Baynes
Introduction and Notes)
Rebecca Wells
T.S. Eliot
Michael North
Maya Angelou
Upton Sinclair
Earl Lee
Kathleen DeGrave
David Guterson
Robert Graves
David Sedaris
E.M. Forster
Nicola Bradbury
Hablot Knight Browne
Plato
Desmond Lee
Maria Helena da Rocha Pereira
Benjamin Jowett
William Peter Blatty
R.D. Ronald
Thomas Mann
Rick Yancey
Julie Kagawa
Kyle Keyes
Benjamin Alire Sáenz
Richard Francis Burton
A.S. Byatt
Diana Forbes
William Makepeace Thackeray
John Carey
Terry Goodkind
Elizabeth Gaskell
Evelyn Waugh
Richard Dawkins
W. Somerset Maugham
Benjamin DeMott
Maeve Binchy
Neal Stephenson
Max Brooks
Libba Bray
Sylvia Day
H.G. Wells
Arthur C. Clarke
Kelley Armstrong
Alan Paton
Dalton Trumbo
Joanne Harris
Jeaniene Frost
Greg Mortenson
David Oliver Relin
Simone Elkeles
Victoria Aveyard
Wilkie Collins
Matthew Sweet
Sarah Dessen
Deborah Harkness
Neal Shusterman
Irvine Welsh
P.D. Eastman
Robert Jackson
Gail Kern Paster
Marcel Proust
Lydia Davis
Tatiana de Rosnay
Chris Van Allsburg
Liam Neeson
Sherrilyn Kenyon
D.H. Lawrence
Daniel Quinn
Michelle Hodkin
Jennifer Niven
Thomas Hardy
Rosemarie Morgan
Shannon Russell
Pittacus Lore
Susan Ee
Deidre Shauna Lynch
James Kinsley
Paullina Simons
Max Lucado
Garth Nix
Abraham Verghese
Martin Heidegger
Shannon Hale
Dodie Smith
Randy Pausch
Robert Bray
Alexandra Bracken
Michael Cunningham
Melissa Marr
Cecelia Ahern
Joe L. Wheeler
Peter S. Beagle
Dan Simmons
Gary Ruddell
Lemony Snicket
Brett Helquist
Edmond Rostand
Eteel Lawson
Lowell Bair
Ellen Raskin
Jhumpa Lahiri
Robert Penn Warren
Roma Gill
Diamante Lavendar
W. Bruce Cameron
Leif Enger
Lionel Shriver
Patrick Ness
Iain Banks
Sun Tzu
Thomas Cleary
